category,label,cap
채소류,채소,0
버섯류,채소,0
해조류,채소,0
"채소, 해조류",채소,0
감자 및 전분류,채소,0
생채·무침류,채소,0
나물·숙채류,채소,0
김치류,채소,0
장아찌·절임류,채소,0
과일류,과일,0
곡류,밥·면·빵,0
"곡류, 서류 제품",밥·면·빵,0
밥류,밥·면·빵,0
면 및 만두류,밥·면·빵,0
죽 및 스프류,밥·면·빵,0
빵 및 과자류,밥·면·빵,5
국 및 탕류,국·찌개,0
찌개 및 전골류,국·찌개,0
육류,고기·생선,0
어패류 및 기타 수산물,고기·생선,0
난류,고기·생선,0
두류,고기·생선,0
구이류,고기·생선,0
조림류,고기·생선,0
찜류,고기·생선,0
볶음류,고기·생선,0
튀김류,고기·생선,0
전·적 및 부침류,고기·생선,0
젓갈류,고기·생선,0
수·조·어·육류,고기·생선,0
견과 및 종실류,간식·음료,0
우유류,간식·음료,0
유제품류 및 빙과류,간식·음료,5
당류,간식·음료,0
차류,간식·음료,0
음료 및 차류,간식·음료,5
"두류, 견과 및 종실류",간식·음료,0
