key,grams,eyeball,food_group,note,unit
# 당뇨병 식품교환표 1교환단위량. '한 번에 이만큼' 을 알려주기 위한 자료다.
#
# 출처(1차): 주달래 등. "2010 당뇨병환자를 위한 식품교환표 개정."
#            The Journal of Korean Diabetes 2011;12(4):228-236.
#            DOI 10.4093/jkd.2011.12.4.228 — Table 4(곡류군), Table 6(채소군),
#            Table 8(우유군), Table 9(과일군) 의 '대표 1교환단위량' 을 그대로 옮겼다.
# 출처(2차): 대한당뇨병학회 홈페이지 식품교환표 사진 설명(목측량).
#            https://www.diabetes.or.kr/general/dietary/dietary_03.php?con=3
#            겹치는 8종(사과·단감·딸기·귤·수박·바나나·오렌지·곶감)의 g 이 논문과
#            모두 일치해 교차 검증됐다. 목측량은 이쪽에만 있어 여기서 가져왔다.
#
# [옮기지 않은 것과 그 이유]
#  - 멜론: 홈페이지의 다른 표에 150g 으로 적혀 있으나 같은 표가 귤·배도 논문과
#    다르게 적고 있어 신뢰하지 않았다. 논문 Table 9 의 120g 을 쓴다.
#  - '대부분의 채소 70g': 넣지 않았다. 논문은 당질 6g 미만 채소를 '자유식품'
#    으로 마음껏 먹으라고 한다 — 상추에 '한 번에 70g' 을 붙이면 있지도 않은
#    제한을 만든다. 과량 섭취를 주의하라고 논문이 따로 짚은 고당질 채소만 넣었다.
#  - 어육류군·지방군: 넣지 않았다. 혈당을 올리는 군이 아니라 이 앱이 답할 질문이
#    아니다.
#  - 크림빵·팥빵 등 소가 든 빵: 넣지 않았다. 교환표의 '빵류 35g' 은 식빵 기준이다.
#  - 한라봉(100g): '귤' 그룹 안에 들어 있어 그룹 키가 먼저 잡는다. 120g 으로
#    표시되지만 20g 차이라 따로 키를 만들지 않았다.
#
# key 는 gi_map.csv 와 같은 순서로 찾는다:
#   '그룹 조리법' → '그룹' → '대표식품명 조리법' → '대표식품명' → '식품명'
# 조리법이 붙은 키가 먼저이므로, 말린 것·착즙한 것은 자기 값을 갖는다.

# ── 과일군 (1교환단위 = 50kcal, 탄수화물 12g / 하루 1~2번) ──
감 단감,50,중 1/3개,과일군,
감 연시,80,,과일군,
감 생것,80,,과일군,대봉감(홍시류)
감말랭이 말리기,15,,과일군,건조과일
곶감 말리기,15,소 1/2개,과일군,건조과일
귤 생것,120,,과일군,
귤 주스,100,,과일군,주스류
대추 생것,50,,과일군,
대추 말리기,15,,과일군,건조과일
딸기 생것,150,중 7개,과일군,
딸기 말리기,15,,과일군,건조과일
라즈베리,150,,과일군,산딸기
산딸기,150,,과일군,
매실 생것,150,,과일군,
멜론 생것,120,,과일군,
무화과 생것,80,,과일군,
무화과 말리기,15,,과일군,건조과일
바나나 생것,50,중 1/2개,과일군,
바나나 말리기,10,,과일군,건조과일(바나나만 10g)
배 생것,110,대 1/4개,과일군,
배 과즙,80,,과일군,주스류(배주스 80g)
복숭아 생것,150,,과일군,백도·천도·황도 모두 150g
블루베리 생것,80,,과일군,
블루베리 말리기,15,,과일군,건조과일
사과 생것,80,중 1/3개,과일군,
사과 말리기,15,,과일군,건조과일
살구 생것,150,,과일군,
살구 말리기,15,,과일군,건조과일
석류,80,,과일군,
수박 생것,150,중 1쪽,과일군,
앵두,150,,과일군,
오렌지 생것,100,대 1/2개,과일군,
오렌지 착즙,100,,과일군,주스류
유자,100,,과일군,
자두 생것,150,,과일군,
자두 말리기,15,,과일군,건조과일
자몽(그레이프프루트) 생것,150,,과일군,
자몽(그레이프프루트) 착즙,100,,과일군,주스류
참외 생것,150,,과일군,
체리,80,,과일군,
키위 생것,80,,과일군,교환표 기준은 그린키위
포도 생것,80,,과일군,포도·거봉·청포도 모두 80g
포도 말리기,15,,과일군,건조과일
포도즙,80,,과일군,주스류(포도주스 80g)

# ── 곡류군 (1교환단위 = 100kcal, 탄수화물 23g) ──
멥쌀밥,70,1/3공기,곡류군,
잡곡밥,70,1/3공기,곡류군,
보리밥,70,1/3공기,곡류군,
쌀죽(흰죽),140,,곡류군,
국수 삶기,90,1/2공기,곡류군,
국수 말리기,30,,곡류군,마른국수
메밀 국수 삶기,90,1/2공기,곡류군,
메밀 국수 말리기,30,,곡류군,마른국수
식빵,35,1쪽,곡류군,
감자,140,중 1개,곡류군,
고구마,70,중 1/2개,곡류군,
밤,60,대 3개,곡류군,

# ── 채소군 (당질이 많아 논문이 과량 섭취를 따로 주의시킨 것만) ──
# 뿌리와 순은 다른 음식이다. '더덕' 이 아니라 '더덕 뿌리' 로 적어야
# '더덕 순'(탄수화물 9.6g)에 뿌리 값(21.5g)이 붙지 않는다.
연근,40,,채소군,당질이 많은 뿌리채소
도라지 뿌리,40,,채소군,당질이 많은 뿌리채소
우엉,40,,채소군,당질이 많은 뿌리채소
더덕 뿌리,40,,채소군,당질이 많은 뿌리채소
호박 단호박,40,1/10개,채소군,당질이 많은 채소
마늘종,40,,채소군,당질이 많은 채소
들깨 잎,40,,채소군,깻잎
마늘,7,,채소군,당질이 많은 채소

# ── 우유군 (1교환단위 = 125kcal, 탄수화물 10g / 하루 1~2번) ──
# unit 칸은 비워두면 'g' 이다. 우유는 액체라 mL 로 적어야 한다 —
# 화면에 '우유 200g' 이라고 쓰면 저울을 찾게 된다.
우유,200,1컵,우유군,,mL
두유,200,1컵,우유군,,mL
분유,25,,우유군,,
