name,rep_name,method,category,serving_label,kcal,carb,sugar,fiber,fat,sodium,source,note
두부,두부,,고기·생선,100g 기준,97,3.75,0,2.9,4.63,,"식품안전나라 식품영양성분DB(식약처 / 자료원: 농진청 2014) — 두부 품목대표 (식품코드 P106-000000100-0001) 100g당","소화탄수화물(carb-fiber)=0.85g로 규칙1(<=5g)에 의해 GI 없이도 자동 초록(low-carb) 판정. 나트륨: 이번 갱신 당시 실측치를 확인하지 못해 값을 비워둠(0이 아니라 모름 — 추후 보강 필요)"
순두부,두부,,고기·생선,100g 기준,44,0.69,0.6,0.3,1.35,,"식품안전나라 식품영양성분DB(식약처 / 2017_RDA_00007) — 순두부 품목대표 (식품코드 P106-001000100-0115) 100g당","대표식품명을 두부와 공유(같은 그룹). 소화탄수화물 0.39g로 규칙1 자동 초록. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
두유,두유,,간식·음료,100ml 기준,47,5.26,4.21,0.9,2.11,,"식품안전나라 식품영양성분DB(식약처) — 두유(원액두유) 품목대표 (식품코드 P109-006050100-F001-001) 100mL당","소화탄수화물 4.36g로 규칙1 자동 초록. 무가당 원액두유 기준값이며 가당/시리얼두유는 당류가 더 높을 수 있음. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
치즈,치즈,,간식·음료,100g 기준,298,6.17,0.24,0,21.3,928,"식품안전나라 식품영양성분DB(식약처) — 치즈(가공치즈/체다 기준) 품목대표 (식품코드 P119-014090200-F004-000) 100g당","슬라이스·저지방 치즈는 지방이 더 낮을 수 있음. GI 미기재로 규칙3(영양성분) 적용 — 소화탄수화물 6.17g로 초록. 나트륨 928mg 은 caution.csv 에 이미 인용된 같은 K-FIND 실측치를 그대로 씀"
청포묵,청포묵,,채소,100g 기준,40,9.81,0.02,0,0.03,,"식품안전나라 식품영양성분DB(식약처) — 청포묵 품목대표 (식품코드 P106-002000400-F010-000) 100g당","원본에 식이섬유 미기재 — 정제전분 젤리 특성상 0으로 간주(가정치). gi_map.csv 기존 '청포묵' 키(GI 30)와 자동 매칭됨. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
소주,소주,,간식·음료,100g 기준,127,0.08,0,0,0,,"식품안전나라 식품영양성분DB(식약처 / 2016_RDA_00034) — 소주(알코올 17.8) 품목대표 (식품코드 P115-102020100-0001) 100g당","현재 시판 소주(참이슬·처음처럼 등)의 통상 도수(17~18%)에 해당하는 실측치 채택. 소화탄수화물 0.08g로 규칙1 자동 초록 — caution.csv 로 저혈당 주의 문구 별도 부착. 나트륨: 증류주라 낮다고 알려져 있으나 정확한 실측치는 미확인이라 값을 비워둠(0이 아니라 모름)"
맥주,맥주,,간식·음료,100g 기준,46,3.27,0.17,0,0.01,,"식품안전나라 식품영양성분DB(식약처 / 2016_RDA_00020) — 맥주(알코올 4.5) 품목대표 (식품코드 P115-104010400-0001) 100g당","한국 시판 맥주 통상 도수(4.5%) 실측치. 소화탄수화물 3.27g로 규칙1 자동 초록 — caution.csv 로 저혈당 주의 문구 별도 부착. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
와인,와인,,간식·음료,100g 기준,101,1.85,0.02,1.5,0,,"식품안전나라 식품영양성분DB(식약처 / 2016_RDA_00047) — 적포도주(알코올 13) 품목대표 (대표식품명 과실주, 식품코드 P115-105010500-0002) 100g당","적포도주 기준값(한국에서 가장 널리 소비). 백포도주 3종(81~84kcal)도 DB에 있으나 대표값은 적포도주로 채택. 소화탄수화물 0.35g로 규칙1 자동 초록 — caution.csv 로 저혈당 주의 문구 별도 부착. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
막걸리,막걸리,,간식·음료,100ml 기준,63,1.3,0,0.6,0.18,,"식품안전나라 식품영양성분DB(식약처 / 2024_RD_20067) — 막걸리 품목대표 (식품코드 P115-101010100-0006) 100mL당","소화탄수화물 0.70g로 규칙1 자동 초록 — caution.csv 로 저혈당 주의 문구 별도 부착. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
사이다,사이다,,간식·음료,100ml 기준,43,10.8,10.8,0,0,,"식품안전나라 식품영양성분DB(식약처) — 사이다 품목대표 (식품코드 P109-019040100-F001-001) 100mL당","소화탄수화물 10.8g(규칙3 기준 amber권)에 당류/탄수화물비 1.0로 단맛보정 1단계 강등 — red 판정. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
콜라,콜라,,간식·음료,100ml 기준,45,11,11,0,0,,"식품안전나라 식품영양성분DB(식약처) — 콜라((주)일화) 상용제품 실측치 (식품코드 P109-401040100-0484) 100mL당","식약처 자체 품목대표값(38kcal/탄수화물 9.46g)은 소화탄수화물이 10g 이하라 단맛보정을 거쳐도 amber에 그쳐 실제 콜라 체감과 어긋남. 코카콜라 공식 표시값(44kcal/탄수화물·당류 각 11g)과 사실상 일치하는 이 실측 상용제품값을 대표값으로 채택 — 소화탄수화물 11g(amber권)+단맛보정으로 red 판정. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
수정과,수정과,,간식·음료,100g 기준,33,8.04,8.04,0,0.04,,"식품안전나라 식품영양성분DB(식약처 / 2023_RDA_00034) — 수정과(캔) 품목대표 (식품코드 P109-801080100-2054) 100g당","전통 고당류 음료. 소화탄수화물 8.04g(규칙3 기준 green권)에 당류/탄수화물비 1.0로 단맛보정 1단계 강등 — amber 판정. 나트륨: 실측치 미확인, 값을 비워둠(0이 아니라 모름)"
