page,name_en,gi,line
2,"(Bakery School, Herk-de-Stad, Belgium) Belgium 2010*",20,"(Bakery School, Herk-de-Stad, Belgium) Belgium 2010* 20±4 6 Normal, 10 25 54.4 Glucose, 2h Standard Venous,"
2,"2 Carrot cake, prepared with wheat flour and coconut flour Philippines 2002",37,"2 Carrot cake, prepared with wheat flour and coconut flour Philippines 2002 37±2 11 Normal, 10 50 NS Bread, 2h Standard Capillary,"
2,"(Betty Crocker, General Mills Inc., Minneapolis, USA) USA 2000",38,"(Betty Crocker, General Mills Inc., Minneapolis, USA) USA 2000 38±3 11 Normal, 10 50 92.4 Glucose, 2h Standard Capillary,"
2,4 Chocolate mudcake Australia 2009,43,"4 Chocolate mudcake Australia 2009 43±4 13 Normal, 9 50 109.4 Glucose, 2h Standard Capillary,"
2,5 Christmas fruit cake Australia 2009,53,"5 Christmas fruit cake Australia 2009 53±3 16 Normal, 10 50 90.6 Glucose, 2h Standard Capillary,"
2,"Holdings, Tooronga, Australia) Australia 2000",73,"Holdings, Tooronga, Australia) Australia 2000 73±12 22 Normal, 10 50 74.2 Glucose, 2h Standard Capillary,"
2,"Bianco, Barilla, Italy) 6 Italy 2005",47,"Bianco, Barilla, Italy) 6 Italy 2005 47±6 14 Normal, 10 50 100 Glucose, 2h Standard Capillary,"
2,"8 Pound cake 0% (Bimbo S.A de C.V, Mexico) Mexico 2006",38,"8 Pound cake 0% (Bimbo S.A de C.V, Mexico) Mexico 2006 38±5 11 Normal, 12 50 122.2 Glucose, 2h Standard Capillary,"
2,"(Loblaw Brands Limited, Canada) Canada 2007",50,"(Loblaw Brands Limited, Canada) Canada 2007 50±4 15 Normal, 10 50 113.6 Bread, 2h Standard Capillary,"
2,"brioss, Ferrero, Italy) Italy 2014",57,"brioss, Ferrero, Italy) Italy 2014 57±5 17 Normal, 10 25 50 Glucose, 2h Standard Capillary,"
2,"chocolate (Kinder Délice, Italy)6 Italy 2012",58,"chocolate (Kinder Délice, Italy)6 Italy 2012 58±8 17 Normal, 10 50 114.8 Glucose, 2h Standard Capillary,"
2,Italy 2012,56,"Italy 2012 56±6 17 Normal, 10 25 62 Glucose, 2h Standard Capillary,"
2,"(Camille, Mulino Bianco, Barilla, Italy) Italy 2007",51,"(Camille, Mulino Bianco, Barilla, Italy) Italy 2007 51±3 15 Normal, 10 50 70 Glucose, 2h Standard Capillary,"
2,"(Kinder Pan e Cioc Cacao, Kinder, Ferrero, Italy) Italy 2014",61,"(Kinder Pan e Cioc Cacao, Kinder, Ferrero, Italy) Italy 2014 61±3 18 Normal, 10 25 56 Glucose, 2h Standard Capillary,"
3,Italy 2014,66,"Italy 2014 66±8 20 Normal, 10 25 57 Glucose, 2h Standard Capillary,"
3,"with chocolate (Fiesta, Ferrero, Italy) Italy 2012",60,"with chocolate (Fiesta, Ferrero, Italy) Italy 2012 60±6 18 Normal, 10 25 48 Glucose, 2h Standard Capillary,"
3,Italy 2012,66,"Italy 2012 66±3 20 Normal, 10 50 107 Glucose, 2h Standard Capillary,"
3,"with apricot jam (Brioss Albicocca ecereali, Ferrero Italy) 6 Italy 2012",60,"with apricot jam (Brioss Albicocca ecereali, Ferrero Italy) 6 Italy 2012 60±7 18 Normal, 10 50 80 Glucose, 2h Standard Capillary,"
3,"(Betty Crocker, General Mills Inc., Minneapolis, USA) USA 2000",42,"(Betty Crocker, General Mills Inc., Minneapolis, USA) USA 2000 42±4 13 Normal, 10 50 96.8 Glucose, 2h Standard Capillary,"
3,"Shaer AG/SPA, Italy) 8 Italy 2015*",42,"Shaer AG/SPA, Italy) 8 Italy 2015* 42±6 13 Normal, 10 50 102 Glucose, 2h Standard Capillary,"
3,Italy 2015*,67,"Italy 2015* 67±6 20 Normal, 10 50 62 Glucose, 2h Standard Capillary,"
3,"22 Croissant, all butter (Coles Supermarkets Pty Ltd, Australia) Australia 2013",45,"22 Croissant, all butter (Coles Supermarkets Pty Ltd, Australia) Australia 2013 45±6 14 Normal, 10 50 123.2 Glucose, 2h Standard Capillary,"
3,23 Croissant Oman 2020*,67,"23 Croissant Oman 2020* 67±2 20 Normal, 12 50 NS Glucose, 2h Standard Capillary,"
3,"(Loblaw Brands Limited, Canada) Canada 2007",41,"(Loblaw Brands Limited, Canada) Canada 2007 41±3 12 Normal, 10 50 242.6 Bread, 2h Standard Capillary,"
3,2007,31,"2007 31±5 9 Normal, 9 50 184.5 Glucose, 2h Standard Capillary,"
3,2007,50,"2007 50±4 15 Normal, 10 50 114.4 Glucose, 2h Standard Capillary,"
3,"27 Fruit mince pies, shortcrust pastry case filled with dried fruit Australia 20",58,"27 Fruit mince pies, shortcrust pastry case filled with dried fruit Australia 2009 58±6 17 Normal, 11 50 80.9 Glucose, 2h Standard Capillary,"
3,"strawberries, banana and passionfruit pulp Australia 2010",49,"strawberries, banana and passionfruit pulp Australia 2010 49±5 15 Normal, 9 50 193.3 Glucose, 2h Standard Capillary,"
4,29 Gingerbread11 France 2019*,81,"29 Gingerbread11 France 2019* 81±5 24 Normal, 15 50 68.2 Glucose, 2h Standard Capillary,"
4,30 Gingerbread11 France 2019*,88,"30 Gingerbread11 France 2019* 88±5 26 Normal, 15 50 68.2 Glucose, 2h Standard Capillary,"
4,31 Gingerbread11 France 2019*,89,"31 Gingerbread11 France 2019* 89±8 27 Normal, 13 50 68.2 Glucose, 2h Standard Capillary,"
4,2007,49,"2007 49±4 15 Normal, 9 50 119.0 Glucose, 2h Standard Capillary,"
4,"33 Apple, oat, sultana muffin Australia 2000",54,"33 Apple, oat, sultana muffin Australia 2000 54±4 16 Normal, 9 50 92.6 Bread, 2h Standard Capillary,"
4,"34 Apricot, coconut and honey muffin Australia 2000",60,"34 Apricot, coconut and honey muffin Australia 2000 60±4 18 Normal, 9 50 102.4 Bread, 2h Standard Capillary,"
4,"35 Banana, oat and honey muffin Australia 2000",65,"35 Banana, oat and honey muffin Australia 2000 65±11 20 Normal, 10 50 98.3 Bread, 2h Standard Capillary,"
4,2007,50,"2007 50±3 15 Normal, 10 50 96.9 Glucose, 2h Standard Capillary,"
4,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007",57,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007 57±7 17 Normal, 10 50 89.7 Bread, 2h Standard Capillary,"
4,38 Chocolate butterscotch muffin Australia 2001,53,"38 Chocolate butterscotch muffin Australia 2001 53±5 16 Normal, 10 50 89.2 Bread, 2h Standard Capillary,"
4,2007,52,"2007 52±6 16 Normal, 11 50 94.0 Glucose, 2h Standard Capillary,"
4,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007",48,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007 48±6 14 Normal, 10 50 120.7 Bread, 2h Standard Capillary,"
4,41 Cranberry Raisin muffin Australia 2013,43,"41 Cranberry Raisin muffin Australia 2013 43±3 13 Normal, 10 50 140.4 Glucose, 2h Standard Capillary,"
4,2007,46,"2007 46±4 14 Normal, 10 50 89.0 Glucose, 2h Standard Capillary,"
4,"(Loblaw Brands Limited, Canada) Canada 2007",52,"(Loblaw Brands Limited, Canada) Canada 2007 52±3 16 Normal, 10 50 106.1 Bread, 2h Standard Capillary,"
4,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007",58,"Menu™ (Loblaw Brands Limited, Canada) Canada 2007 58±7 17 Normal, 10 50 106.1 Bread, 2h Standard Capillary,"
4,Muffins (mean),53,"Muffins, mean of 13 foods 53"
5,resistant starch and 3% dextrins Spain 2009,39,"resistant starch and 3% dextrins Spain 2009 39±6 12 Normal, 10 50 133 Glucose, 2h Standard Venous, whole"
5,46 Muffin made with oat flour Singapore 2015*,54,"46 Muffin made with oat flour Singapore 2015* 54±5 16 Normal, 12 50 146.8 Glucose, 2h Standard Capillary,"
5,47 Muffin made with barley flour Singapore 2015*,55,"47 Muffin made with barley flour Singapore 2015* 55±5 17 Normal, 12 50 139.7 Glucose, 2h Standard Capillary,"
5,48 Muffin made with corn flour Singapore 2015*,74,"48 Muffin made with corn flour Singapore 2015* 74±5 22 Normal, 12 50 136.9 Glucose, 2h Standard Capillary,"
5,49 Muffin made with wheat flour Singapore 2015*,74,"49 Muffin made with wheat flour Singapore 2015* 74±8 22 Normal, 12 50 126.1 Glucose, 2h Standard Capillary,"
5,50 Muffin made with rice flour Singapore 2015*,79,"50 Muffin made with rice flour Singapore 2015* 79±6 24 Normal, 12 50 119.4 Glucose, 2h Standard Capillary,"
5,"51 Pancakes, prepared with wheat flour and coconut flou r Philippines 2002",46,"51 Pancakes, prepared with wheat flour and coconut flou r Philippines 2002 46±2 14 Normal, 10 50 NS Bread, 2h Standard Capillary,"
5,Australia 2009,61,"Australia 2009 61±7 18 Normal, 10 50 78.9 Glucose, 2h Standard Capillary,"
5,"Glendenning, Australia) Australia 2000",67,"Glendenning, Australia) Australia 2000 67±5 20 Normal, 10 50 69.7 Glucose, 2h Standard Capillary,"
5,"54 Pancakes, millet (100% foxtail millet flour) China 2016*",76,"54 Pancakes, millet (100% foxtail millet flour) China 2016* 76±11 23 Normal, 10 50 121 Glucose, 2h Standard Venous,"
5,"55 Pancakes, prepared from wheat flour China 2005",80,"55 Pancakes, prepared from wheat flour China 2005 80±4 24 Normal, 10 50 NS Glucose, 2h Standard Venous, NS NS 12"
5,"flour (w/w, dry basis) China 2016*",83,"flour (w/w, dry basis) China 2016* 83±10 25 Normal, 10 50 141 Glucose, 2h Standard Venous,"
5,"(Orgran Natural Foods, Carrum Downs, Australia) Australia 2000",102,"(Orgran Natural Foods, Carrum Downs, Australia) Australia 2000 102±11 31 Normal, 10 50 69.4 Glucose, 2h Standard Capillary,"
5,2007,61,"2007 61±6 18 Normal, 10 50 187.3 Glucose, 2h Standard Capillary,"
5,"59 Brownies, containing wheat flour and coconut flour Philippines 2002",43,"59 Brownies, containing wheat flour and coconut flour Philippines 2002 43±4 13 Normal, 10 50 NS Bread, 2h Standard Capillary,"
6,"60 Cinnamon bread, prepared with wheat flour and coconut flour Philippines 2002",45,"60 Cinnamon bread, prepared with wheat flour and coconut flour Philippines 2002 45±3 14 Normal, 10 50 NS Bread, 2h Standard Capillary,"
6,61 Doughnut Oman 2020*,75,"61 Doughnut Oman 2020* 75±3 23 Normal, 12 50 NS Glucose, 2h Standard Capillary,"
6,"Bakeries, Chatswood, Australia) Australia 2012",59,"Bakeries, Chatswood, Australia) Australia 2012 59±7 18 Normal, 10 50 89.8 Glucose, 2h Standard Capillary,"
6,"63 Hot cross buns, spiced sweet bun with dried fruit Australia 2012",66,"63 Hot cross buns, spiced sweet bun with dried fruit Australia 2012 66±6 20 Normal, 9 50 112.8 Glucose, 2h Standard Capillary,"
6,coconut flour Philippines 2002,62,"coconut flour Philippines 2002 62±4 19 Normal, 10 50 NS Bread, 2h Standard Capillary,"
6,"65 Pastry, puff (Pampas™, Australia) Australia 2006",56,"65 Pastry, puff (Pampas™, Australia) Australia 2006 56±5 17 Normal, 10 50 127.2 Glucose, 2h Standard Capillary,"
6,"66 Pastry, puff, with wheat flour and sugar (Nastrine, Italy) 6 Italy 2005",47,"66 Pastry, puff, with wheat flour and sugar (Nastrine, Italy) 6 Italy 2005 47±6 14 Normal, 9 50 102 Glucose, 2h Standard Capillary,"
6,Australia 2000,85,"Australia 2000 85±14 26 Normal, 10 50 144.5 Glucose, 2h Standard Capillary,"
6,"Orograin Bakeries Manufacturing Inc, PA, USA) USA 2015",52,"Orograin Bakeries Manufacturing Inc, PA, USA) USA 2015 52±4 16 Normal, 10 50 104.2 Glucose, 2h Standard Capillary,"
6,Australia) Australia 2000,92,"Australia) Australia 2000 92±8 28 Normal, 10 50 105.3 Glucose, 2h Standard Capillary,"
6,"70 Sweet bread, with chocolate chips (Pangoccioli, Italy)6 Italy 2009",50,"70 Sweet bread, with chocolate chips (Pangoccioli, Italy)6 Italy 2009 50±5 15 Normal, 10 50 81.4 Glucose, 2h Standard Capillary,"
6,"all'albicocca, Italy)6 Italy 2005",44,"all'albicocca, Italy)6 Italy 2005 44±4 13 Normal, 9 50 77.5 Glucose, 2h Standard Capillary,"
