rep_name,marker,note
호박,애호박,대표식품명 '호박' 아래에 서로 다른 채소가 묶여 있다. 애호박(탄수 5.1g)과 단호박(13.6g)은 가게에서 따로 파는 다른 채소인데 한 그룹이라 조리법 비교가 '삶으면 좋고 찌면 주의'로 읽혔다. 실제로는 쥬키니(삶기)와 단호박(찌기)을 비교하고 있었다.
호박,단호박,위와 같음
호박,쥬키니,위와 같음
호박,늙은호박,위와 같음
호박,국수호박,위와 같음
호박,차요테,위와 같음
멥쌀,백미,백미와 현미는 도정도가 다른 별개의 주식이다. 탄수화물이 2.21배 차이나 같은 그룹에 두면 조리법 비교가 성립하지 않는다. 품종명(일품·삼광 등)은 답이 같으므로 그대로 합친다.
멥쌀,현미,위와 같음
멥쌀,칠분도미,위와 같음
멥쌀,배아미,위와 같음
멥쌀,쌀눈,위와 같음
국수,우동,우동(탄수 30.5g)과 칼국수(63.0g)는 다른 면이다.
국수,칼국수,위와 같음
국수,중국국수,위와 같음
마,장마,장마 9.6g / 단마 14.1g / 둥근마 33.2g — 신호등이 초록·노랑·빨강으로 다 갈린다. 같은 그룹에 두면 '마'를 검색한 사람이 어느 답을 봐야 할지 알 수 없다.
마,단마,위와 같음
마,둥근마,위와 같음
멥쌀밥,누룽지,누룽지(탄수 86.8g)는 밥(30.7~48.5g)을 눌러 말린 것이라 농도가 2.8배다. 같은 그룹에 있으면 편차 방어에 걸려 품종 22종이 하나도 안 합쳐지고 '쌀밥' 검색 결과를 그대로 도배한다.
