term,key,note
# 사람이 쓰는 말과 식약처 표기가 다른 것. term 으로 검색하면 key 에 해당하는
# 레코드가 나오도록 검색 별칭을 붙인다.
#
# 별칭은 지금까지 두 곳에서만 만들어졌다 — 화면 이름(_add_alias)과 합쳐져
# 사라진 레코드의 이름(_inherit_search). 둘 다 '우리가 만든 이름' 이라
# 사람이 원래 쓰는 말은 들어올 자리가 없었다. '목살' 로 찾으면 게살죽·맛살전이
# 나왔다 — 우리 데이터에는 '목심' 이라고만 적혀 있기 때문이다.
#
# key 는 그룹 이름이나 원본 식품명이다. 어느 레코드에도 안 걸리면 빌드가
# 멈춘다 — 조용히 아무 데도 안 붙는 것이 제일 나쁘다.

목살,돼지고기 목심,정육점에서 파는 이름. 식약처는 '목심' 이라고 적는다
돼지목살,돼지고기 목심,
소목살,소고기 목심,
닭가슴살,닭고기 가슴,원본이 '닭고기_가슴(껍질 제거)_생것' 이라 '닭가슴살' 이 글자로 없다
닭다리,닭고기 아랫다리,아랫다리(북채)와 넓적다리를 통틀어 닭다리라고 한다
닭다리,닭고기 넓적다리,
닭봉,닭고기 아랫다리,
등심살,소고기 등심,
안심살,소고기 안심,
채끝살,소고기 채끝,
우둔살,소고기 우둔,
설도살,소고기 설도,
양지살,소고기 양지,
